alpha,cl,cd,cm
-1.0,-0.13,0.0153,-0.00
0.0,-0.01,0.0151,0.00
1.0,0.10,0.0157,-0.00
2.0,0.19,0.0165,-0.01
3.0,0.28,0.0169,-0.01
4.0,0.36,0.0171,-0.01
5.0,0.44,0.0176,-0.01
6.0,0.53,0.0185,-0.01
7.0,0.61,0.0199,-0.02
8.0,0.70,0.0220,-0.02
9.0,0.77,0.0249,-0.02
10.0,0.83,0.0284,-0.02
11.0,0.89,0.0324,-0.02
12.0,0.93,0.0374,-0.03
13.0,0.97,nan,-0.03
14.0,0.98,nan,-0.04
15.0,0.74,nan,-0.06
16.0,0.69,nan,-0.09
17.0,0.65,nan,-0.08
18.0,0.63,nan,nan
19.0,0.62,nan,nan
20.0,0.62,nan,nan
21.0,0.61,nan,nan
22.0,0.61,nan,nan
