alpha_deg,cl,cd,cm
-180.0,0.0,0.025,-0.020000000000000004
-175.0,0.66,0.055,0.281764705882353
-170.0,0.85,0.14,0.4202941176470588
-165.0,0.68,0.23,0.27941176470588236
-160.0,0.635,0.32,0.2858823529411764
-155.0,0.67,0.42,0.32529411764705884
-150.0,0.77,0.575,0.3517647058823529
-145.0,0.9,0.755,0.4929411764705882
-140.0,0.98,0.925,0.40441176470588236
-135.0,0.93,1.085,0.42617647058823527
-130.0,0.85,1.225,0.4117647058823529
-125.0,0.76,1.35,0.47117647058823525
-120.0,0.67,1.465,0.5588235294117647
-115.0,0.575,1.555,0.5311764705882354
-110.0,0.45,1.635,0.4723529411764706
-105.0,0.32,1.7,0.28529411764705886
-100.0,0.185,1.75,0.45
-95.0,0.05,1.78,0.28794117647058826
-90.0,-0.09,1.8,0.49529411764705883
-85.0,-0.23,1.8,0.45529411764705885
-80.0,-0.365,1.78,0.2570588235294118
-75.0,-0.5,1.735,0.46941176470588236
-70.0,-0.63,1.665,0.1652941176470588
-65.0,-0.76,1.575,0.44176470588235295
-60.0,-0.875,1.47,0.3923529411764706
-55.0,-0.955,1.345,0.3323529411764706
-50.0,-1.02,1.215,0.3355882352941177
-45.0,-1.05,1.075,0.22088235294117647
-40.0,-1.035,0.92,0.10382352941176472
-35.0,-0.98,0.745,0.08352941176470588
-30.0,-0.855,0.57,0.08294117647058824
-25.0,-0.8953294117647059,0.405,0.07411764705882352
-22.0,-0.8540470588235295,0.329,0.06447058823529413
-21.0,-0.8511705882352941,0.3055,0.06105882352941176
-20.0,-0.8482941176470589,0.282,0.05794117647058823
-19.0,-0.8527823529411765,0.26,0.057205882352941176
-18.0,-0.8572647058823529,0.238,0.05647058823529411
-17.0,-0.8683588235294117,0.21158823529411763,0.05517647058823529
-16.0,-0.8795764705882353,0.1862058823529412,-0.002235294117647059
-15.0,-0.8914470588235294,0.09946470588235294,-0.04058823529411765
-14.0,-0.9006705882352941,0.028352941176470588,-0.03573529411764706
-13.0,-0.9034588235294118,0.025782352941176468,-0.03267647058823529
-12.0,-0.8991235294117648,0.02349411764705882,-0.03064705882352941
-11.0,-0.8823941176470589,0.021317647058823528,-0.030470588235294117
-10.0,-0.8534764705882353,0.019329411764705883,-0.030294117647058822
-9.0,-0.8053764705882352,0.01764705882352941,-0.029852941176470586
-8.0,-0.7455647058823529,0.016152941176470585,-0.029558823529411762
-7.0,-0.6743294117647058,0.014764705882352942,-0.02911764705882353
-6.0,-0.5903294117647059,0.013676470588235293,-0.028676470588235293
-5.0,-0.5006705882352941,0.01278235294117647,0.0
-4.0,-0.4048941176470588,0.012088235294117648,0.0
-3.0,-0.3040235294117647,0.011588235294117647,0.0
-2.0,-0.22,0.0112,0.0
-1.0,-0.11,0.011000000000000001,0.0
0.0,0.0,0.011000000000000001,0.0
1.0,0.11,0.011000000000000001,0.0
2.0,0.22,0.0112,0.0
3.0,0.3040235294117647,0.011588235294117647,0.0
4.0,0.4048941176470588,0.012088235294117648,0.0
5.0,0.5006705882352941,0.01278235294117647,0.0
6.0,0.5903294117647059,0.013676470588235293,0.028676470588235293
7.0,0.6743294117647058,0.014764705882352942,0.02911764705882353
8.0,0.7455647058823529,0.016152941176470585,0.029558823529411762
9.0,0.8053764705882352,0.01764705882352941,0.029852941176470586
10.0,0.8534764705882353,0.019329411764705883,0.030294117647058822
11.0,0.8823941176470589,0.021317647058823528,0.030470588235294117
12.0,0.8991235294117648,0.02349411764705882,0.03064705882352941
13.0,0.9034588235294118,0.025782352941176468,0.03267647058823529
14.0,0.9006705882352941,0.028352941176470588,0.03573529411764706
15.0,0.8914470588235294,0.09946470588235294,0.04058823529411765
16.0,0.8795764705882353,0.1862058823529412,0.002235294117647059
17.0,0.8683588235294117,0.21158823529411763,-0.05517647058823529
18.0,0.8572647058823529,0.238,-0.05647058823529411
19.0,0.8527823529411765,0.26,-0.057205882352941176
20.0,0.8482941176470589,0.282,-0.05794117647058823
21.0,0.8511705882352941,0.3055,-0.06105882352941176
22.0,0.8540470588235295,0.329,-0.06447058823529413
25.0,0.8953294117647059,0.405,-0.07411764705882352
30.0,0.855,0.57,-0.08294117647058824
35.0,0.98,0.745,-0.08352941176470588
40.0,1.035,0.92,-0.10382352941176472
45.0,1.05,1.075,-0.22088235294117647
50.0,1.02,1.215,-0.3355882352941177
55.0,0.955,1.345,-0.3323529411764706
60.0,0.875,1.47,-0.3923529411764706
65.0,0.76,1.575,-0.44176470588235295
70.0,0.63,1.665,-0.1652941176470588
75.0,0.5,1.735,-0.46941176470588236
80.0,0.365,1.78,-0.2570588235294118
85.0,0.23,1.8,-0.45529411764705885
90.0,0.09,1.8,-0.49529411764705883
95.0,-0.05,1.78,-0.28794117647058826
100.0,-0.185,1.75,-0.45
105.0,-0.32,1.7,-0.28529411764705886
110.0,-0.45,1.635,-0.4723529411764706
115.0,-0.575,1.555,-0.5311764705882354
120.0,-0.67,1.465,-0.5588235294117647
125.0,-0.76,1.35,-0.47117647058823525
130.0,-0.85,1.225,-0.4117647058823529
135.0,-0.93,1.085,-0.42617647058823527
140.0,-0.98,0.925,-0.40441176470588236
145.0,-0.9,0.755,-0.4929411764705882
150.0,-0.77,0.575,-0.3517647058823529
155.0,-0.67,0.42,-0.32529411764705884
160.0,-0.635,0.32,-0.2858823529411764
165.0,-0.68,0.23,-0.27941176470588236
170.0,-0.85,0.14,-0.4202941176470588
175.0,-0.66,0.055,-0.281764705882353
180.0,0.0,0.025,0.020000000000000004
