tsr,cp,cd,u_infty,dsflag,nti,nbelem,nrevs,walls,cpu_hrs_per_sec
3.1,0.21789899999999998,0.7049888999999999,1.0,2.0,24.0,4.0,6.0,1.0,0.01134477271181898
3.1,0.224277275,0.7154669,1.0,2.0,24.0,8.0,6.0,1.0,0.02361766138118264
3.1,0.235794125,0.7251460750000001,1.0,2.0,24.0,12.0,6.0,1.0,0.03650759417616666
3.1,0.23952625,0.728132025,1.0,2.0,24.0,16.0,6.0,1.0,0.05442737151029847
3.1,0.24158535,0.7300010750000001,1.0,2.0,24.0,20.0,6.0,1.0,0.07312397850120303
3.1,0.24339775,0.7294540749999999,1.0,2.0,24.0,24.0,6.0,1.0,0.09708670863583176
3.1,0.24830385,0.7082984750000001,1.0,2.0,24.0,28.0,6.0,1.0,0.12090325200791685
3.1,0.255919675,0.7033865750000001,1.0,2.0,24.0,32.0,6.0,1.0,0.1526631760935665
3.1,0.258641,0.698954625,1.0,2.0,24.0,36.0,6.0,1.0,0.18221839981852853
3.1,0.25820955,0.7009519500000001,1.0,2.0,24.0,40.0,6.0,1.0,0.21990738701757714
3.1,0.262124825,0.6952083250000001,1.0,2.0,24.0,44.0,6.0,1.0,0.2519341869371728
3.1,0.262650125,0.681837475,1.0,2.0,24.0,48.0,6.0,1.0,0.2976158503859926
3.1,0.28676582500000003,0.6810672,1.0,2.0,24.0,52.0,6.0,1.0,0.34003040967656906
3.1,0.28979509999999997,0.669705025,1.0,2.0,24.0,56.0,6.0,1.0,0.3858888571173021
3.1,0.32478665,0.645674725,1.0,2.0,24.0,60.0,6.0,1.0,0.4298706744900328
3.1,0.3666726,0.6404263,1.0,2.0,24.0,64.0,6.0,1.0,0.49066736924743726
