tsr,cp,cd,u_infty,dsflag,nti,nbelem,nrevs,walls,cpu_hrs_per_sec
3.1,-0.279538075,0.366290625,0.2,2.0,24.0,16.0,6.0,1.0,0.01130329646756241
3.1,-0.08454853,0.49538305000000005,0.3,2.0,24.0,16.0,6.0,1.0,0.017524563121441083
3.1,0.0282098175,0.5783389750000001,0.4,2.0,24.0,16.0,6.0,1.0,0.02232713824021576
3.1,0.1417058,0.659967,0.6,2.0,24.0,16.0,6.0,1.0,0.03354782218848023
3.1,0.20253065,0.702586175,0.8,2.0,24.0,16.0,6.0,1.0,0.044283030097413655
3.1,0.23952625,0.728132025,1.0,2.0,24.0,16.0,6.0,1.0,0.053840924614047714
3.1,0.267093025,0.743322075,1.2,2.0,24.0,16.0,6.0,1.0,0.06544339399100181
3.1,0.290200975,0.75495815,1.4,2.0,24.0,16.0,6.0,1.0,0.0773525156000824
3.1,0.31017130000000004,0.7629143,1.6,2.0,24.0,16.0,6.0,1.0,0.08597413489800658
3.1,0.3264304,0.770910975,1.8,2.0,24.0,16.0,6.0,1.0,0.10033137482587072
3.1,0.34209994999999993,0.778335525,2.0,2.0,24.0,16.0,6.0,1.0,0.11046959679288164
